country,start,end
Angola,2010,2014
Benin,1960,1962
Benin,1964,1965
Benin,1968,1969
Benin,1990,2014
Brazil,1946,1964
Brazil,1967,1968
Burkina Faso,1960,1965
Burkina Faso,1970,1973
Cape Verde,1992,1998
Central African Republic,1959,1963
Central African Republic,2016,2018
Chad,1960,1974
Chile,1980,2014
Congo,1961,1962
Costa Rica,1949,2014
Cote d'Ivoire,1960,1998
Cote d'Ivoire,2000,2014
Democratic Republic of the Congo,1967,1977
Dominican Republic,1929,1933
Dominican Republic,1955,1962
Ecuador,1906,1934
Ecuador,1945,1969
Ecuador,1997,1998
Egypt,2007,2010
Egypt,2012,2013
Egypt,2014,2015
El Salvador,1939,1944
El Salvador,1950,1960
El Salvador,1983,2014
Gabon,1960,1961
Gabon,1975,2014
Germany,1871,1918
Germany,1949,2014
Guatemala,1845,1850
Guinea,2010,2014
Haiti,1983,1986
Honduras,1924,1935
Mali,1960,1967
Mali,1974,2014
Mauritania,1961,1979
Mauritania,1991,2014
Nicaragua,1905,1910
Nicaragua,1939,1947
Nicaragua,1950,1973
Nicaragua,1987,2014
Niger,1964,1973
Niger,1989,1990
Niger,1996,2009
Pakistan,1956,1957
Panama,1983,2014
Peru,1979,2014
Portugal,1822,1823
Rwanda,1962,1994
Spain,1845,1860
Sudan,1973,1984
Switzerland,1999,2014
Ukraine,1996,2014
